"_id","title","summary","username","img"
"4305","谷歌将伊朗官方的冠状病毒检测应用下架","近日，谷歌从官方的Play商店删除了一个由伊朗政府开发的用于测试和跟踪COVID-19（冠状病毒）感染的安卓应用。","iso60001","/avatar/uploads/attach/image/7cd0ba2b9479513c5087fc7e71feae2a/33.jpg"
"4309","CVE-2020-0796：SMBv3的RCE漏洞，下一个EternalBlue？","近日，微软公布了在Server Message Block 3.0（SMBv3）中发现的“蠕虫型”预授权远程代码执行漏洞。目前该漏洞已在本月的安全补丁中被修复。","iso60001","/avatar/uploads/attach/image/7062762c964bb4f66122199be61bf097/22.jpg"
"4310","Meltdown再现：研究称英特尔处理器易受新型LVI攻击","推测执行是所有现代 CPU 都具有的一项功能，以提升系统的整体的表现。然而早些年曝光的幽灵（Spectre）和熔毁（Meltdown）漏洞，已经为芯片设计行业敲响了警钟。...","iso60001","/avatar/uploads/attach/image/935789f9c51ab1303d92576f25db927f/22.png"
"4312","欧盟隐私法规严格 疫情中用智能手机追踪位置违法","3月11日消息，据国外媒体报道，欧盟各国的新冠病毒疫情控制行动并没有因为隐私保护法规而受到阻碍，但如果是使用智能手机定位数据来对人们的活动轨迹和接触者进...","iso60001","/avatar/uploads/attach/image/c071541b6ece22b39c20e8c47a2516b0/22.jpg"
"4313","调查发现医院很多设备采用过时操作系统 易受黑客攻击","根据网络安全公司Palo Alto Networks周二发布的一项研究显示，医院中连接互联网的成像设备有很大一部分运行过时的操作系统。该公司发现，83%的这些设备运行在过...","iso60001","/avatar/uploads/attach/image/2f93fd817fa27f2ccc263065ae988746/aa.png"
"4317","欧洲高压电网监督组织ENTSO-E被黑客成功入侵","日前，负责监督欧洲高压电力基础设施运行的组织ENTSO-E被黑客成功入侵了。ENTSO-E成立于2008年，由35个成员国的42个传输系统运营商（TSO）组成。TSO运行高压电力...","iso60001","/avatar/uploads/attach/image/9318aaa3315ea737e44f705066bb5dca/33.jpg"
"4318","Metasploit Framework（Windows）的提权漏洞","当在windows中安装metasploit framework时，会自动创建4个服务。metasploit windows服务在默认情况下是自动运行的（机器重启的情况下）。","iso60001","/avatar/uploads/attach/image/f27f55027170c2682c4accb906327cc1/22.png"
"4319","微软发布CVE-2020-0796补丁","在可能造成巨大威胁的SMB漏洞公布几天后，微软终于发布了一个紧急软件更新来修补最近SMBv3协议中的缺陷。该漏洞可以让攻击者传播蠕虫型的恶意软件，自动在内网内...","iso60001","/avatar/uploads/attach/image/86d50ec2aceedb7184b4fbe187708ab3/22.jpg"
"4320","WhiteSource研究报告：开源漏洞在2019年增长近50%","开源组件已成为当今许多软件应用程序的基础组成部分，这也使得其在安全性方面受到越来越严格的审查。根据开源管理专家 WhiteSource 发布的一份新报告，可知 2019...","iso60001","/avatar/uploads/attach/image/ce9e98bcc564dd7708d2f962b37b30f0/22.png"
"4322","CobaltStrike、社工库、后门...这些搜索语句你见过吗？","第三期“有趣的FOFA”活动结束了，投票获奖结果公布，并为大家介绍本期中奖语法~","xiannv","/avatar/uploads/attach/image/b249ba7d2005dc1d5ad36cc8367c07bb/微信图片_20200313193914.png"
"4323","海量涉疫情个人信息泄露 两地公安做出行政拘留处罚","打击涉疫情的造谣之外，对泄露隐私的惩处，也开启了序幕。卫生局副局长遭党纪立案调查；副镇长遭全县范围内通报批评；前社区医疗服务人员被行政拘留10日。近日，...","iso60001","/avatar/uploads/attach/image/c640eb823c998937f3d5dc72179f803f/22.png"
"4324","植入到Volusion网站的恶意代码为黑客带来了160万美元的收入","据从事欺诈检测的安全威胁咨询公司Gemini Advisory的说法，黑客去年从托管在Volusion的在线商店中盗取的信用卡数据已在暗网中出现。被盗的信用卡数据与ZDNet去年...","iso60001","/avatar/uploads/attach/image/603776a7839fa716287ea7540e39b763/22.jpg"
"4326","捷克医院在CO​​VID-19爆发期间遭受网络攻击","近日，捷克共和国Brno市的Brno大学医院在COVID-19爆发期间遭到网络攻击。医院官员尚未透露安全漏洞的性质。不过这一事件已被认为是严重的，足以推迟紧急外科手术...","tianqi1","/avatar/uploads/attach/image/c371c585cf221dda518590bcd00cf9a8/22.jpg"
"4327","报告称美国83%联网医疗成像设备易受黑客攻击","一项新的研究显示，美国绝大多数的医疗成像设备容易受到黑客攻击，一大原因是操作系统老旧，不受支持。根据Palo Alto Networks旗下Unit 42 Threat安全团队发布的...","tianqi1","/avatar/uploads/attach/image/882944356714d0696dda2c0864a18da7/aa.jpg"
"4328","原来，手机是这样“窃听”你的","你的手机也许正在“偷听”你！2019年3·15，《IT时报》抛出的这个终极质疑引发了全社会的关注和自省。扪心自问，我们每个人好像都曾遇到过这样的情况：刚刚和朋友讨...","iso60001","/avatar/uploads/attach/image/48a60227c12fc90a25d219b95a188a3a/22.jpg"
"4331","CVE-2020-0796漏洞DoS测试脚本公开","外网公开了有潜力成为第二个永恒之蓝的SMB漏洞CVE-2020-0796的DoS版利用工具","iso60001","/avatar/uploads/attach/image/a558186a17d609821c96552d0417d638/cc.png"
