"_id","title","desc","date","img","tags","nickname"
"209744","直播视频公布 | 窥探有方——调试Released SGX Enclave","分析SGX的工作模型，设法将Release版本的Enclave转换成Debug版本，再借助SGX开发套件中的sgx-gdb工具，可实现对SGX Enclave的动态调试，之后便可为所欲为。","2020/7/24 13:00:47","https://p0.ssl.qhimg.com/t01139c2c61db7d57f9.jpg","SGX/可信计算","360冰刃实验室"
"209797","利用USO服务将特权文件写入武器化","James Forshaw发现的DiagHub DLL loading技术已经非常有名了。每当你在Windows或一些第三方软件中发现SYSTEM权限的任意文件写漏洞时，你就可以用这一招来造成任意代码执行，而且不用重启。","2020/7/16 15:00:49","https://p4.ssl.qhimg.com/t01d5dadea303fae572.png","Windows/Kernel/LPE/EoP","红豚工作室"
"209910","利用USO服务实现特权文件写入——下篇","在上一篇文章中，我展示了如何使用USO客户端与USO服务进行交互，并通过 StartScan 命令让其按需加载windowscoredeviceinfo.dll。不过这并没有达到我们最终的目的。","2020/7/21 14:30:29","https://p4.ssl.qhimg.com/t01d5dadea303fae572.png","Windows","红豚工作室"
"210281","Windows进程注入：EM_GETHANDLE、WM_PASTE和EM_SETWORDBREAKPROC","ESET最近发表了一篇有关Invisimole恶意软件的文章，引起了人们对其使用LVM_SETITEMPOSITION和LVM_GETITEMPOSITION实现注入，并使用LVM_SORTITEMS实现执行的关注。","2020/7/22 14:30:51","https://p4.ssl.qhimg.com/t017d016a3afb97f431.jpg","系统安全","P!chu"
"210540","IoT环境中针对用户隐私的新型多阶段隐私攻击","在智能家居环境内部或附近的攻击者可能会利用这些设备使用的固有无线介质从加密的有效负载（即传感器数据）中窃取有关用户及其活动的敏感信息，为了防止这种隐私泄漏，提出了一种基于生成欺骗性流量的对策。","2020/7/17 15:30:34","https://p0.ssl.qhimg.com/t011314f4e086460b9b.jpg","IOT安全","CDra90n"
"210696","如何使用命令行对无文件恶意软件进行取证","在本篇文章中，我们将讨论如何检测使用诸如memfd_create（）之类的方法在RAM中创建一个可以运行的匿名文件以进行无文件攻击这种攻击向量。
","2020/7/20 11:00:33","https://p3.ssl.qhimg.com/t01b5711945785b8fe3.jpg","电子取证","寅儿"
"210769","CVE-2019–1367：IE 漏洞分析 Part1","在这一节中，我们将通过分析恶意软件流量从pcaps中提取exploit。","2020/7/20 15:30:43","https://p0.ssl.qhimg.com/t01392bafd42dd5920c.jpg","漏洞分析","qwert"
"210798","安全快讯9 | 工信部通报第二批问题APP，知名教育APP“上榜”","一些网络黑产从业者利用电商平台，批量倒卖非法获取的人脸等身份信息和“照片活化”网络工具及教程。","2020/7/17 19:30:03","https://p2.ssl.qhimg.com/t015caed21ed9a4764d.png","资讯","360手机卫士"
"210816","CVE-2020-15504：Sophos XG RCE漏洞分析（Part 1）","2020年4月25日，Sophos发布了安全公告，其中提到了影响XG Firewall产品线的一个未授权SQL注入（SQLi）漏洞。","2020/7/16 16:30:17","https://p0.ssl.qhimg.com/t011a95590c8d08d981.png","RCE/CVE-2020-15504/Sophos XG","興趣使然的小胃"
"210817","CVE-2020-15504：Sophos XG RCE漏洞分析（Part 2）","除了diff分析补丁包之外，我们还可以通过另一种方式来发现n-day漏洞：分析不需要身份认证的（可以通过/webconsole/Controller端点调用的）所有后端函数。我们可以从Java函数getPreAuthOperationList中提取出对应的函数编号。","2020/7/17 10:00:21","https://p0.ssl.qhimg.com/t011a95590c8d08d981.png","RCE/CVE-2020-15504/Sophos XG","興趣使然的小胃"
"210849","F5 BIG-IP hsqldb（CVE-2020-5902）漏洞踩坑分析","F5 BIG-IP最近发生了一次比较严重的RCE漏洞，下面记录下复现与踩坑的过程。","2020/7/16 15:30:11","https://p2.ssl.qhimg.com/t01b8d91fb52fce3fec.png","漏洞分析","知道创宇404实验室"
